Feature,Importance
Water_Logging_Risk,0.25073701624253447
Cumulative_Rainfall_7d,0.2412940316645816
Traffic_Stress_Index,0.17668357967673237
Road_Age_Years,0.12991137676032125
Heavy_Vehicle_Ratio,0.08487758465123121
Aging_Factor,0.03716755441335174
Drainage_Score,0.020745392124107528
Nearby_Construction_Flag,0.015656905656585764
Last_Repair_Days_Ago,0.010598805839751299
PCU_City_Wide_Avg_Volume,0.005509833073790818
Surface_Roughness_Index,0.0043024382380644184
Subsurface_Quality_Index,0.003794619626974975
Repair_Backlog_Score,0.0034671175864399682
Is_Peak_Traffic_Hour,0.00319095913402931
Cumulative_Rainfall_30d,0.0021610293092961994
relative_humidity,0.0012739757491144624
precipitation,0.0008129056054245947
wind_speed,0.0007052570027752583
pressure,0.0006834356651491773
max_temp,0.0006219312222583104
Precipitation_Log,0.0006177315777767479
dew_point,0.0005207008450785879
min_temp,0.0004858748904863441
DayOfWeek,0.0004841427839623598
Temp_Swing,0.00046991946530551993
Is_Weekend,0.00046827487575209624
Material_Asphalt,0.00045627485589354354
Lane_Count,0.0004252291569857672
Heat_Cycle_Count_30d,0.00039807935267905346
Material_Concrete,0.000369604941408964
Humidex,0.00036339842147470417
temperature_2m,0.00020852152594982493
Material_Interlock,0.00020560187321940095
avg_temp,0.00019247492771256713
Month,0.00013842126379969992
