Segment_ID,Ward,Road_Material,Road_Age_Years,Lane_Count,Drainage_Score,Subsurface_Quality_Index,Heavy_Vehicle_Ratio,Last_Repair_Days_Ago,Surface_Roughness_Index,Nearby_Construction_Flag,Repair_Backlog_Score,Latitude,Longitude
SEG_000,Kasba Peth,Asphalt,12.3,2,3,0.582,0.097,382,1.3,0,0.668,18.52653,73.8753
SEG_001,Kondhwa,Asphalt,3.4,6,3,0.809,0.129,894,1.4,0,0.129,18.45249,73.8957
SEG_002,Baner,Concrete,11.3,4,5,0.923,0.062,996,4.37,0,0.275,18.55147,73.79823
SEG_003,Wanowrie,Concrete,11.4,2,1,0.777,0.35,401,4.61,0,0.139,18.48128,73.8891
SEG_004,Wanowrie,Concrete,9.3,2,2,0.971,0.113,175,1.45,1,0.284,18.49599,73.8926
SEG_005,Bibwewadi,Concrete,10.5,2,1,0.826,0.225,1071,2.61,1,0.675,18.46145,73.86731
SEG_006,Kasba Peth,Asphalt,15.3,6,2,0.893,0.317,203,3.8,1,0.91,18.5146,73.85297
SEG_007,Baner,Asphalt,16.0,4,5,0.291,0.314,724,4.45,0,0.203,18.56576,73.78558
SEG_008,Kothrud,Asphalt,9.8,4,5,0.786,0.175,306,2.21,0,0.542,18.52319,73.83071
SEG_009,Kasba Peth,Asphalt,12.0,4,1,0.552,0.191,177,2.83,0,0.701,18.51634,73.87678
SEG_010,Aundh,Concrete,18.6,4,4,0.642,0.398,938,3.84,0,0.953,18.55873,73.8386
SEG_011,Yerawada,Asphalt,2.4,2,2,0.723,0.27,198,3.79,0,0.61,18.54568,73.91731
SEG_012,Kondhwa,Asphalt,2.3,6,1,0.976,0.326,814,4.02,0,0.255,18.45327,73.87025
SEG_013,Kondhwa,Concrete,1.8,2,2,0.988,0.361,840,3.06,0,0.625,18.46192,73.91762
SEG_014,Kondhwa,Concrete,13.2,4,1,0.431,0.315,100,0.97,1,0.32,18.47653,73.90543
SEG_015,Kondhwa,Asphalt,8.4,4,3,0.787,0.074,232,4.57,0,0.976,18.47651,73.91267
SEG_016,Aundh,Asphalt,15.5,4,5,0.8,0.225,959,4.4,1,0.4,18.56557,73.83064
SEG_017,Shivajinagar,Asphalt,13.4,6,3,0.477,0.041,623,4.09,0,0.685,18.54276,73.85388
SEG_018,Bibwewadi,Asphalt,6.7,2,4,0.299,0.261,171,0.95,0,0.023,18.46996,73.84102
SEG_019,Wanowrie,Asphalt,18.0,4,3,0.233,0.382,1190,1.42,0,0.4,18.49664,73.8764
SEG_020,Aundh,Asphalt,15.3,4,1,0.822,0.205,340,3.85,0,0.875,18.5781,73.82764
SEG_021,Hadapsar,Asphalt,5.4,4,1,0.592,0.173,34,0.6,0,0.61,18.48552,73.95956
SEG_022,Shivajinagar,Concrete,7.3,2,2,0.988,0.014,1111,4.91,0,0.444,18.52853,73.8423
SEG_023,Yerawada,Asphalt,6.3,2,2,0.572,0.384,49,2.2,1,0.936,18.55598,73.91473
SEG_024,Kondhwa,Asphalt,3.2,2,5,0.982,0.041,677,3.74,0,0.854,18.45429,73.88352
SEG_025,Baner,Asphalt,3.0,2,5,0.529,0.016,1191,4.49,0,0.322,18.57288,73.81082
SEG_026,Wanowrie,Asphalt,18.7,4,5,0.835,0.098,706,2.28,0,0.545,18.48852,73.8726
SEG_027,Bibwewadi,Concrete,8.8,4,4,0.268,0.026,714,1.94,0,0.49,18.45845,73.84535
SEG_028,Aundh,Asphalt,7.7,4,3,0.644,0.182,484,3.24,0,0.632,18.55395,73.84511
SEG_029,Wanowrie,Concrete,14.6,4,4,0.842,0.206,178,3.11,0,0.334,18.47602,73.8842
